item_id,title,description,mapped_outcomes,priority,effort(S/M/L),owner_role,target_quarter,success_criteria,notes
AUTO-001,Remediate DE-2 (Detect),Close gap for Detection use cases and validate evidence coverage,DE-2,P1,L,Security Operations Lead,2026-Q2,Outcome DE-2 maturity increased and evidence logged,Auto-generated from gap risk score 15.68
AUTO-002,Remediate GV-5 (Govern),Close gap for Third-party risk governance and validate evidence coverage,GV-5,P1,L,CISO / Security Manager,2026-Q2,Outcome GV-5 maturity increased and evidence logged,Auto-generated from gap risk score 15.68
AUTO-003,Remediate DE-1 (Detect),Close gap for Centralized logging and validate evidence coverage,DE-1,P1,S,Security Operations Lead,2026-Q2,Outcome DE-1 maturity increased and evidence logged,Auto-generated from gap risk score 8.40
AUTO-004,Remediate DE-3 (Detect),Close gap for Monitoring coverage for critical assets and validate evidence coverage,DE-3,P1,L,Security Operations Lead,2026-Q2,Outcome DE-3 maturity increased and evidence logged,Auto-generated from gap risk score 8.40
AUTO-005,Remediate ID-1 (Identify),Close gap for Asset inventory completeness and validate evidence coverage,ID-1,P1,S,Risk and Asset Management Lead,2026-Q2,Outcome ID-1 maturity increased and evidence logged,Auto-generated from gap risk score 8.40
AUTO-006,Remediate ID-4 (Identify),Close gap for Vulnerability management process and validate evidence coverage,ID-4,P1,S,Risk and Asset Management Lead,2026-Q2,Outcome ID-4 maturity increased and evidence logged,Auto-generated from gap risk score 8.40
AUTO-007,Remediate PR-1 (Protect),Close gap for Identity and access management baseline and validate evidence coverage,PR-1,P1,L,Infrastructure and Identity Lead,2026-Q2,Outcome PR-1 maturity increased and evidence logged,Auto-generated from gap risk score 8.40
AUTO-008,Remediate PR-2 (Protect),Close gap for MFA coverage and validate evidence coverage,PR-2,P1,S,Infrastructure and Identity Lead,2026-Q2,Outcome PR-2 maturity increased and evidence logged,Auto-generated from gap risk score 8.40
AUTO-009,Remediate PR-3 (Protect),Close gap for Endpoint hardening and EDR and validate evidence coverage,PR-3,P1,S,Infrastructure and Identity Lead,2026-Q2,Outcome PR-3 maturity increased and evidence logged,Auto-generated from gap risk score 8.40
AUTO-010,Remediate PR-4 (Protect),Close gap for Patch and configuration management and validate evidence coverage,PR-4,P1,L,Infrastructure and Identity Lead,2026-Q2,Outcome PR-4 maturity increased and evidence logged,Auto-generated from gap risk score 8.40
AUTO-011,Remediate PR-7 (Protect),Close gap for Secure software and cloud configuration and validate evidence coverage,PR-7,P1,L,Infrastructure and Identity Lead,2026-Q2,Outcome PR-7 maturity increased and evidence logged,Auto-generated from gap risk score 8.40
AUTO-012,Remediate RC-1 (Recover),Close gap for Backup and restore testing and validate evidence coverage,RC-1,P1,S,BCDR Coordinator,2026-Q2,Outcome RC-1 maturity increased and evidence logged,Auto-generated from gap risk score 8.40
AUTO-013,Remediate RS-2 (Respond),Close gap for Incident classification and playbooks and validate evidence coverage,RS-2,P1,L,Incident Response Manager,2026-Q2,Outcome RS-2 maturity increased and evidence logged,Auto-generated from gap risk score 8.40
AUTO-014,Remediate ID-5 (Identify),Close gap for Threat-informed risk assessment and validate evidence coverage,ID-5,P2,M,Risk and Asset Management Lead,2026-Q2,Outcome ID-5 maturity increased and evidence logged,Auto-generated from gap risk score 15.68
AUTO-015,Remediate RC-2 (Recover),Close gap for BCDR integration and validate evidence coverage,RC-2,P2,M,BCDR Coordinator,2026-Q2,Outcome RC-2 maturity increased and evidence logged,Auto-generated from gap risk score 15.68
AUTO-016,Remediate RS-3 (Respond),Close gap for Internal and external communications and validate evidence coverage,RS-3,P2,S,Incident Response Manager,2026-Q2,Outcome RS-3 maturity increased and evidence logged,Auto-generated from gap risk score 15.68
AUTO-017,Remediate GV-1 (Govern),Close gap for Cybersecurity governance charter and validate evidence coverage,GV-1,P2,M,CISO / Security Manager,2026-Q2,Outcome GV-1 maturity increased and evidence logged,Auto-generated from gap risk score 8.40
AUTO-018,Remediate GV-4 (Govern),Close gap for Risk management process and validate evidence coverage,GV-4,P2,M,CISO / Security Manager,2026-Q2,Outcome GV-4 maturity increased and evidence logged,Auto-generated from gap risk score 8.40
AUTO-019,Remediate ID-2 (Identify),Close gap for Business criticality and data classification and validate evidence coverage,ID-2,P2,S,Risk and Asset Management Lead,2026-Q2,Outcome ID-2 maturity increased and evidence logged,Auto-generated from gap risk score 8.40
AUTO-020,Remediate PR-5 (Protect),Close gap for Data protection controls and validate evidence coverage,PR-5,P2,M,Infrastructure and Identity Lead,2026-Q2,Outcome PR-5 maturity increased and evidence logged,Auto-generated from gap risk score 8.40
AUTO-021,Remediate RS-1 (Respond),Close gap for Incident response plan and validate evidence coverage,RS-1,P2,S,Incident Response Manager,2026-Q2,Outcome RS-1 maturity increased and evidence logged,Auto-generated from gap risk score 8.40
AUTO-022,Remediate DE-4 (Detect),Close gap for Alert triage workflow and validate evidence coverage,DE-4,P2,S,Security Operations Lead,2026-Q2,Outcome DE-4 maturity increased and evidence logged,Auto-generated from gap risk score 6.30
AUTO-023,Remediate RS-4 (Respond),Close gap for Forensic readiness and validate evidence coverage,RS-4,P2,M,Incident Response Manager,2026-Q2,Outcome RS-4 maturity increased and evidence logged,Auto-generated from gap risk score 6.30
AUTO-024,Remediate DE-5 (Detect),Close gap for Anomaly detection and baselining and validate evidence coverage,DE-5,P3,M,Security Operations Lead,2026-Q3,Outcome DE-5 maturity increased and evidence logged,Auto-generated from gap risk score 14.70
AUTO-025,Remediate RC-4 (Recover),Close gap for Improvement tracking after disruption and validate evidence coverage,RC-4,P3,S,BCDR Coordinator,2026-Q3,Outcome RC-4 maturity increased and evidence logged,Auto-generated from gap risk score 11.76
AUTO-026,Remediate RS-5 (Respond),Close gap for Lessons learned process and validate evidence coverage,RS-5,P3,S,Incident Response Manager,2026-Q3,Outcome RS-5 maturity increased and evidence logged,Auto-generated from gap risk score 11.76
AUTO-027,Remediate GV-2 (Govern),Close gap for Policy framework lifecycle and validate evidence coverage,GV-2,P3,S,CISO / Security Manager,2026-Q3,Outcome GV-2 maturity increased and evidence logged,Auto-generated from gap risk score 6.30
AUTO-028,Remediate GV-3 (Govern),Close gap for Roles and responsibilities and validate evidence coverage,GV-3,P3,S,CISO / Security Manager,2026-Q3,Outcome GV-3 maturity increased and evidence logged,Auto-generated from gap risk score 6.30
AUTO-029,Remediate ID-3 (Identify),Close gap for Network and data flow visibility and validate evidence coverage,ID-3,P3,S,Risk and Asset Management Lead,2026-Q3,Outcome ID-3 maturity increased and evidence logged,Auto-generated from gap risk score 6.30
AUTO-030,Remediate RC-3 (Recover),Close gap for Recovery communications and restoration priorities and validate evidence coverage,RC-3,P3,S,BCDR Coordinator,2026-Q3,Outcome RC-3 maturity increased and evidence logged,Auto-generated from gap risk score 6.30
AUTO-031,Remediate PR-6 (Protect),Close gap for Security awareness program and validate evidence coverage,PR-6,P4,S,Infrastructure and Identity Lead,2026-Q3,Outcome PR-6 maturity increased and evidence logged,Auto-generated from gap risk score 1.68
